INSTNM,INEXPFTE,ADM_RATE_ALL,MD_EARN_WNE_4YR,MEDIAN_HH_INC,FAMINC,MD_FAMINC,STUFACR,UGDS_MEN,UGDS_WOMEN
Florida Memorial University,7225.0,0.56755212796343,39617.0,48349.61,27905.922385,20624,15.0,0.5101,0.4899
Florida Career College-Miami,2387.0,,27703.0,51365.45,15286.696829,12406,18.0,0.3824,0.6176
Florida School of Massage,3793.0,,22091.0,,27763.322115,17131,8.0,0.3462,0.6538
Florida Southern College,8666.0,0.60879263872107,47132.0,60789.21,83551.08092,66112,14.0,0.3608,0.6392
Florida State University,11614.0,0.37070590940446,52382.0,60914.47,66692.643161,43729,22.0,0.4287,0.5713
University of Florida,15912.0,0.31321616672644,62503.0,60120.16,58287.237,39127,17.0,0.4365,0.5635
Fort Pierce Beauty Academy,3844.0,,16871.0,49465.29,16294.901538,11766,9.0,0.3793,0.6207
Full Sail University,3843.0,,34471.0,66113.73,34508.814347,21349.5,36.0,0.6947,0.3053
George Stone Technical College,9991.0,,34137.0,49894.07,18887.139535,15300,26.0,0.8391,0.1609
George T Baker Aviation Technical College,6372.0,,47141.0,48326.73,20274.480597,18035,17.0,0.9326,0.0674
Gulf Coast State College,7445.0,,42110.0,48565.82,29691.249377,22880,18.0,0.3381,0.6619
Key College,3787.0,,,52745.07,40517.883495,27667,6.0,0.0,1.0
Hillsborough Community College,4252.0,,43333.0,56827.04,29944.749494,22087,22.0,0.4143,0.5857
Hobe Sound Bible College,12327.0,,27270.0,50360.1,27864.521739,23357.5,10.0,0.5159,0.4841
Hollywood Institute of Beauty Careers,1647.0,,16922.0,,15985.136617,13244,20.0,0.0864,0.9136
Cortiva Institute,5212.0,,23934.0,52056.88,28423.0894,18657,12.0,0.1217,0.8783
Indian River State College,5417.0,,37300.0,51025.92,27751.202839,21577,25.0,0.3791,0.6209
International Academy,5767.0,,17027.0,49271.09,17684.649254,12561.5,6.0,0.1613,0.8387
AI Miami International University of Art and Design,2814.0,,32209.0,57565.03,32373.511384,20734,11.0,0.3454,0.6546
Jacksonville University,9278.0,0.77616606227335,68099.0,63671.93,63343.088351,46900,13.0,0.3894,0.6106
Keiser University-Ft Lauderdale,5157.0,0.96067961165048,42035.0,55699.66,30044.945738,21659,16.0,0.2707,0.7293
La Belle Beauty School,2275.0,,13733.0,45777.57,7708.0421053,0,20.0,0.0269,0.9731
Florida Gateway College,5690.0,,43125.0,43571.84,26706.971774,21618,14.0,0.3167,0.6833
Lake Technical College,18332.0,,31270.0,49899.76,20566.714988,17933,14.0,0.5742,0.4258
Lake-Sumter State College,3296.0,,38775.0,51345.79,30970.914397,25118,24.0,0.3695,0.6305
Fort Myers Technical College,11152.0,,36839.0,50398.8,21402.288416,19016,20.0,0.6847,0.3153
Lively Technical College,4665.0,,29010.0,46024.59,14535.184767,12177,20.0,0.5131,0.4869
Lindsey Hopkins Technical College,12042.0,,31535.0,39108.83,16395.937639,14022,8.0,0.5945,0.4055
Loraines Academy & Spa,4028.0,,21549.0,49256.91,19026.29878,10398.5,20.0,0.0471,0.9529
Luther Rice College & Seminary,4586.0,0.47368421052631,46435.0,65125.89,37533.081395,31532.5,9.0,0.6716,0.3284
State College of Florida-Manatee-Sarasota,4469.0,,41500.0,54747.67,29987.452104,23855,21.0,0.3665,0.6335
Manatee Technical College,13732.0,,33920.0,50712.6,21171.822878,18827,12.0,0.5527,0.4473
Traviss Technical College,6862.0,,30575.0,49446.52,19519.621827,16669.5,8.0,0.6443,0.3557
Merryfield School of Pet Grooming,4684.0,,20894.0,,23692.649485,14300,9.0,0.0723,0.9277
Trinity International University-Florida,6538.0,0.9142091152815,45762.0,72368.27,57731.865613,38553,3.0,0.4,0.6
Miami Lakes Educational Center and Technical College,3741.0,,38485.0,47015.29,18988.228106,17084,15.0,0.8225,0.1775
Miami Dade College,4972.0,,41666.0,49446.55,22429.16505,18391,18.0,0.4133,0.5867
University of Miami,29931.0,0.28493312818084,61350.0,71124,95429.355717,54690.5,13.0,0.4653,0.5347
Orange Technical College-Mid Florida Campus,8495.0,,32026.0,54068.81,18609.250737,16000,12.0,0.9131,0.0869
Paul Mitchell the School-Jacksonville,5466.0,,23632.0,52638.98,39432.093352,23659,10.0,0.0224,0.9776
North Florida College,6065.0,,37157.0,40336.16,21883.161525,17842,20.0,0.2503,0.7497
University of North Florida,6289.0,0.77486878280429,48725.0,62628.24,53956.388417,37074,19.0,0.4292,0.5708
Nova Southeastern University,16296.0,0.92501489488467,61375.0,62876.89,48127.358379,31002,17.0,0.2788,0.7212
Northwest Florida State College,5408.0,,38951.0,54201.26,29581.210231,23721,23.0,0.3874,0.6126
Orange Technical College,8459.0,,26131.0,53504.94,18645.559028,14956,5.0,0.1295,0.8705
Palm Beach Atlantic University,9939.0,0.89859594383775,44216.0,64221.06,75288.730769,52817.5,12.0,0.3536,0.6464
Palm Beach State College,3750.0,,40660.0,58951.88,27095.70554,21408.5,27.0,0.3977,0.6023
Pasco-Hernando State College,3945.0,,42857.0,46234.11,31875.259829,23149,26.0,0.3926,0.6074
Pensacola State College,4172.0,,37274.0,50380.73,27154.882174,20605,22.0,0.327,0.673
Pinellas Technical College-Clearwater,6426.0,,34503.0,50310.74,16962.610169,14935,9.0,0.5901,0.4099
Polk State College,4102.0,,42228.0,50786.53,29538.632653,23968,20.0,0.3363,0.6637
Radford M Locklin Technical College,5382.0,,25872.0,51282.06,18515.643243,14561,18.0,0.7571,0.2429
Saint Vincent de Paul Regional Seminary,19367.0,,,,,,,,
Ridge Technical College,6291.0,,28671.0,46373.01,18428.540299,16062,15.0,0.4955,0.5045
Ringling College of Art and Design,19413.0,0.68729333963155,44874.0,70285.4,73385.200758,51310,12.0,0.2824,0.7176
Robert Morgan Educational Center and Technical College,10391.0,,25851.0,59144.65,19955.738544,16112,10.0,0.5241,0.4759
Rollins College,10610.0,0.48685931739802,49331.0,69363.5,71988.27875,43978,11.0,0.4006,0.5994
First Coast Technical College,8059.0,,31545.0,49314.01,18822.709302,16017.5,8.0,0.4617,0.5383
Saint Leo University,4968.0,0.70662304184017,49363.0,58178.62,31623.866431,22361,16.0,0.3897,0.6103
St Petersburg College,4607.0,,46652.0,50755.94,30553.651818,22640.5,22.0,0.37,0.63
Pinellas Technical College-St. Petersburg,8345.0,,32412.0,44203.46,14834.778614,12455,7.0,0.5359,0.4641
Santa Fe College,4567.0,,41187.0,50017.68,35371.773576,25000,20.0,0.4609,0.5391
Suncoast Technical College,8589.0,,34535.0,54434.27,19166.978102,17739.5,8.0,0.5541,0.4459
Seminole State College of Florida,3503.0,,43317.0,61419.87,33393.487976,24900.5,26.0,0.4244,0.5756
Sheridan Technical College,6128.0,,31865.0,52327.39,19490.128306,16902,12.0,0.5023,0.4977
St. John Vianney College Seminary,18059.0,0.94736842105263,,,22790.4,14929,4.0,0.9459,0.0541
Saint Johns River State College,4139.0,,41210.0,56485.29,32865.571089,24832,18.0,0.3428,0.6572
South Florida State College,6828.0,,39671.0,42197.59,25665.129513,20658.5,17.0,0.3346,0.6654
University of South Florida,10045.0,0.49378376231331,49819.0,58397.57,48536.836326,32495,22.0,0.4316,0.5684
St. Thomas University,5637.0,0.70862401662461,49557.0,56846.82,38394.378218,26170,10.0,0.5192,0.4808
Stetson University,10945.0,0.91641468682505,46611.0,64417.32,72923.742625,52032.5,12.0,0.4324,0.5676
Southeastern University,3896.0,0.4491902834008,37134.0,60101.07,53574.173523,39372,26.0,0.4096,0.5904
Bene's Career Academy,6259.0,,16190.0,45891.25,16289.334,10523,8.0,0.1547,0.8453
Riveroak Technical College,9402.0,,28237.0,40407.73,15188.274074,12254,7.0,0.3467,0.6533
Tallahassee Community College,5257.0,,36875.0,51023.41,34378.086132,23457,24.0,0.4317,0.5683
Talmudic College of Florida,44052.0,,,57307.12,48267.4,30890,4.0,1.0,0.0
Altierus Career College-Tampa,3304.0,,27961.0,55523.92,13845.500867,9616,28.0,0.4853,0.5147
The University of Tampa,7338.0,0.53549720398735,52149.0,71934.52,93138.544944,75458,18.0,0.3919,0.6081
Big Bend Technical College,5867.0,,32327.0,40842.84,21813.322917,17833,15.0,0.5234,0.4766
Tom P. Haney Technical College,5841.0,,26074.0,49899.12,19619.610638,16344,15.0,0.538,0.462
Trinity Baptist College,2217.0,0.43010752688172,29698.0,58249.91,42173.135135,32858,15.0,0.563,0.437
Trinity College of Florida,5264.0,0.46715328467153,30360.0,55309.46,40971.186992,29824,12.0,0.603,0.397
Valencia College,3332.0,,36918.0,58543.84,30746.683603,23247,19.0,0.4011,0.5989
Warner University,3768.0,0.53127753303964,41068.0,52491.75,40001.46338,29095,13.0,0.5223,0.4777
Florida Panhandle Technical College,8217.0,,25883.0,43597.05,18439.124579,15147,10.0,0.536,0.464
Webber International University,3230.0,0.27456428391007,38700.0,55372.47,52800.315789,39516,24.0,0.6723,0.3277
Rasmussen University-Florida,2721.0,,45560.0,66941.62,35850.098826,25123.5,10.0,0.1363,0.8637
The University of West Florida,6167.0,0.52806004618937,44264.0,54753.42,48536.490497,34583.5,21.0,0.4242,0.5758
Orange Technical College-Westside Campus,4706.0,,22591.0,57592.92,18735.913793,15579.5,14.0,0.6583,0.3417
William T McFatter Technical College,5557.0,,32598.0,56046.73,18770.826087,16334,10.0,0.6538,0.3462
Orange Technical College-East Campus,6013.0,,26576.0,55781.54,18863.061033,16529,13.0,0.4581,0.5419
Withlacoochee Technical College,7937.0,,32558.0,42928.15,19857.319277,17183.5,9.0,0.5208,0.4792
Abraham Baldwin Agricultural College,6509.0,0.75363636363636,42179.0,46480.92,49275.831215,36087,19.0,0.4117,0.5883
Agnes Scott College,15914.0,0.69846153846153,39282.0,69580.95,64883.6325,45206,12.0,0.0,1.0
Interactive College of Technology-Chamblee,1266.0,,28875.0,70108.71,15671.104741,12445,23.0,0.6766,0.3234
Interactive College of Technology-Morrow,1433.0,,28875.0,70108.71,15671.104741,12445,12.0,0.2923,0.7077
Albany Technical College,3315.0,,28632.0,42438.33,20528.653665,15340,11.0,0.2923,0.7077
Albany State University,6218.0,,40399.0,52181.09,34018.790981,24458,20.0,0.2609,0.7391
Andrew College,8202.0,0.51333333333333,31295.0,58509.1,47054.042208,30229,7.0,0.4662,0.5338
The Art Institute of Atlanta,2274.0,,31456.0,72782.11,31804.231073,20246,21.0,0.4983,0.5017
Georgia Career Institute,3652.0,,18792.0,62053.54,24761.98913,16298,20.0,0.026,0.974
Atlanta Technical College,5031.0,,28177.0,50134.52,19281.699503,14469,14.0,0.3353,0.6647
Point University,6144.0,0.46562905317769,35840.0,69033.68,50046.519535,34603,12.0,0.4786,0.5214
Atlanta Metropolitan State College,3905.0,,32461.0,53064.92,21715.586111,16404,26.0,0.3483,0.6517
Atlanta's John Marshall Law School,8235.0,,,,,,,,
Atlanta School of Massage,3773.0,,23381.0,72837.79,25110.909651,15601,20.0,0.0808,0.9192
Clark Atlanta University,8743.0,0.58242612752721,39042.0,60451.55,39012.693782,28746,18.0,0.2364,0.7636
Augusta Technical College,7397.0,,33080.0,48434.37,19209.205991,15421,14.0,0.427,0.573
Berry College,14532.0,0.69899028386359,43052.0,70464.52,98593.749337,82687.5,12.0,0.3636,0.6364
Beulah Heights University,3463.0,,32710.0,63599.65,19233.175141,13003,6.0,0.558,0.442
Brenau University,9123.0,0.89105263157894,51912.0,67048.19,41657.783582,29256.5,9.0,0.0718,0.9282
Brewton-Parker College,4351.0,0.79740680713128,37758.0,50168.03,43910.939394,31140,18.0,0.6248,0.3752
College of Coastal Georgia,6720.0,0.9735322425409,43223.0,50342.2,42709.178517,29123,21.0,0.3044,0.6956
West Georgia Technical College,3453.0,,34600.0,59360.86,29797.353462,22099,20.0,0.3101,0.6899
Clayton  State University,6070.0,0.62561041779707,47337.0,65444.71,34119.605302,24211,19.0,0.2899,0.7101
Columbia Theological Seminary,14146.0,,,,,,,,
Columbus Technical College,4371.0,,33919.0,48355.68,20514.119571,17754,13.0,0.2762,0.7238
Columbus State University,7409.0,0.78521327014218,45795.0,55979.92,46211.985498,32787.5,16.0,0.3959,0.6041
Georgia Northwestern Technical College,3597.0,,35626.0,50299.15,27568.657029,22361,19.0,0.3448,0.6552
Covenant College,9687.0,0.88539042821158,37126.0,63670.68,100941.96923,78999,11.0,0.4679,0.5321
Dalton State College,4630.0,,41521.0,52781.02,38004.648946,31184.5,18.0,0.3797,0.6203
Pro Way Hair School,7509.0,,15960.0,54547.86,14068.64135,10884,10.0,0.6372,0.3628
South University-Savannah,8845.0,,53555.0,55764.27,29130.921239,20000,11.0,0.2636,0.7364
East Georgia State College,5506.0,,28787.0,43205,37091.275911,25909.5,20.0,0.4411,0.5589
Emmanuel College,4939.0,0.77837259100642,37675.0,50422.48,61252.605317,46336,15.0,0.5522,0.4478
Emory University,49768.0,0.15602281623979,71805.0,80509.92,86143.937865,56041,9.0,0.4214,0.5786
Georgia Highlands College,3425.0,,37369.0,60570.62,42877.280268,30709,18.0,0.3605,0.6395
Fort Valley State University,4522.0,0.72256153988524,37176.0,53364.82,31807.319339,22382,21.0,0.3719,0.6281
Grady Health System Professional Schools,7360.0,,62382.0,73839.52,20241.893617,17160,10.0,0.209,0.791
Georgia Institute of Technology-Main Campus,10243.0,0.15959861968761,91543.0,77933.64,94825.188719,71161,14.0,0.5989,0.4011
Georgia Southwestern State University,6401.0,0.85584494245911,46264.0,49591.36,48977.674501,35856.5,16.0,0.3434,0.6566
Georgia College & State University,6888.0,0.87675372328944,51360.0,68382.02,90505.874254,78447.5,16.0,0.3578,0.6422
Georgia Southern University,5129.0,0.90512917318375,50380.0,62772.56,65829.271209,49236,22.0,0.4249,0.5751
Georgia State University,5687.0,0.99989183732333,48806.0,72190.32,41486.425333,27922,27.0,0.3962,0.6038
University of Georgia,9089.0,0.39983175711845,56318.0,71225.06,83743.288699,64178.5,17.0,0.4205,0.5795
Gordon State College,4409.0,0.87644787644787,40217.0,63654.05,39724.501031,29199,18.0,0.337,0.663
Southern Crescent Technical College,3656.0,,32821.0,62435.74,21160.90789,17015,17.0,0.2687,0.7313
Gupton Jones College of Funeral Service,3896.0,,38402.0,58522.7,22049.560241,16231.5,30.0,0.4478,0.5522
Gwinnett College-Lilburn,3454.0,,33662.0,77766.2,21400.07419,17841,7.0,0.1919,0.8081
Gwinnett Technical College,5052.0,,40941.0,79261.87,31315.652045,22080,16.0,0.4176,0.5824
Interdenominational Theological Center,9856.0,,,55256.2,,,,,
LaGrange College,11605.0,0.74822974036191,51320.0,61341.56,65512.547579,53444,9.0,0.5534,0.4466
Lanier Technical College,4170.0,,33554.0,65170.22,23606.566176,19928.5,15.0,0.3956,0.6044
Life University,6503.0,0.95911949685534,46732.0,67303.03,41369.381139,26648,14.0,0.4846,0.5154
Chattahoochee Technical College,3632.0,,39244.0,71916.61,22300.170506,18905,19.0,0.4222,0.5778
Herzing University-Atlanta,2617.0,0.94095092024539,43052.0,60281.46,26184.228503,18321,14.0,0.1734,0.8266
Mercer University,12487.0,0.75406193584224,56091.0,67164.94,63938.455969,43171.5,13.0,0.3562,0.6438
Morehouse College,17804.0,0.65184008472332,52645.0,61675.05,64861.72083,39421,12.0,0.9996,0.0004
Morehouse School of Medicine,103742.0,,,66408.21,,,,,
North Georgia Technical College,5839.0,,35136.0,46804.93,27852.814007,21943.5,13.0,0.4157,0.5843
Oglethorpe University,5779.0,0.8129117259552,48424.0,73815.08,66658.213404,46649,14.0,0.37,0.63
Paine College,11234.0,0.52009456264775,36243.0,51038.61,29082.587097,21579,8.0,0.5436,0.4564
Piedmont University,7640.0,0.66996233521657,49682.0,58219.12,57076.289474,42868.5,9.0,0.3322,0.6678
Miami Ad School-Atlanta,2411.0,,64312.0,69715.5,42117.907285,24014,5.0,0.1818,0.8182
Reinhardt University,7709.0,0.7039603960396,44600.0,75577.26,55126.078947,41738,12.0,0.5205,0.4795
Savannah Technical College,3920.0,,32253.0,49130.18,21512.999197,18180,15.0,0.352,0.648
Savannah College of Art and Design,8592.0,0.80776451656162,43044.0,71588.69,86153.582365,59559,20.0,0.3074,0.6926
Savannah State University,6097.0,,40523.0,54220.88,33456.498706,24120,18.0,0.3813,0.6187
Shorter University,4851.0,0.81201044386422,43337.0,65365.08,47983.680352,34625,15.0,0.4446,0.5554
South Georgia Technical College,5704.0,,33041.0,41068.78,18093.265976,14546,15.0,0.4923,0.5077
The Creative Circus,8726.0,,77203.0,75658.02,51221.76087,24085.5,6.0,0.4028,0.5972
Spelman College,13439.0,0.50760558339298,47061.0,63157.84,64944.14594,43781,11.0,0.0,1.0
Thomas University,8905.0,0.28839390386869,50958.0,45124.61,43897.414498,32267.5,12.0,0.4317,0.5683
Toccoa Falls College,4898.0,0.61888509670079,32311.0,59357.86,52323.872727,39310,15.0,0.3916,0.6084
Truett McConnell University,4451.0,0.68815165876777,45490.0,62186.38,63203.198218,55292,17.0,0.4761,0.5239
Wiregrass Georgia Technical College,5615.0,,29752.0,41827.96,19837.830633,16781,12.0,0.3481,0.6519
Valdosta State University,4684.0,0.76369942196531,43051.0,57353.47,49340.930549,35444,19.0,0.3285,0.6715
Wesleyan College,10846.0,0.62164750957854,48963.0,57826.42,46198.323636,30956,9.0,0.0,1.0
University of West Georgia,7693.0,0.69697428139183,46269.0,66454.08,52120.809622,36595,19.0,0.3518,0.6482
Young Harris College,7968.0,0.74756756756756,36680.0,65588.3,75738.641929,55702,11.0,0.4496,0.5504
Chaminade University of Honolulu,10767.0,0.90079893475366,53321.0,72476.63,41390.179834,27931.5,10.0,0.2734,0.7266
University of Hawaii at Hilo,16118.0,0.92172413793103,41098.0,59308.27,42259.322416,27504,13.0,0.3502,0.6498
University of Hawaii at Manoa,22581.0,0.69980109144693,51430.0,71646.27,58432.105494,40609,14.0,0.3979,0.6021
Hawaii Institute of Hair Design,3764.0,,15396.0,65523.94,25630.922078,16976.5,18.0,0.6667,0.3333
Hawaii Pacific University,5889.0,0.85319718781386,56490.0,72804.49,63441.804209,42913,18.0,0.332,0.668
Honolulu Community College,11835.0,,42606.0,67000.39,31721.498201,24734.5,16.0,0.6341,0.3659
Kapiolani Community College,11259.0,,41376.0,67576.62,32399.418693,24805,16.0,0.3612,0.6388
Kauai Community College,16477.0,,35844.0,62610.53,28578.63147,23399,11.0,0.3476,0.6524
Leeward Community College,8413.0,,35441.0,73899.73,32031.598658,26098,21.0,0.3704,0.6296
University of Hawaii Maui College,18388.0,,42016.0,67245.41,27984.201818,21722,15.0,0.3128,0.6872
University of Hawaii-West Oahu,11799.0,0.94616419919246,45390.0,74812.42,39991.050239,28758,18.0,0.3478,0.6522
Windward Community College,12899.0,,30708.0,83639.38,31389.72101,21000,18.0,0.2821,0.7179
Carrington College-Boise,7022.0,,35683.0,57227.68,33371.566613,24244.5,17.0,0.1411,0.8589
Boise Bible College,9123.0,0.79411764705882,30261.0,55318.91,48869.813333,45930,10.0,0.5682,0.4318
Boise State University,7859.0,0.83128834355828,50031.0,58298.66,62341.39584,42915,20.0,0.4297,0.5703
College of Eastern Idaho,10133.0,,44297.0,53842.04,33411.857461,25579,13.0,0.3394,0.6606
Idaho State University,12445.0,,46739.0,52463.75,47397.302112,35747.5,13.0,0.4075,0.5925
University of Idaho,11230.0,0.81383737517831,49248.0,54125.14,59886.374211,45018,16.0,0.4912,0.5088
The College of Idaho,7891.0,0.56293302540415,42900.0,57741.96,76542.144044,63773,12.0,0.4919,0.5081
Lewis-Clark State College,8367.0,1.0,47220.0,49266.88,43630.445083,31207,15.0,0.349,0.651
Aveda Institute-Twin Falls,2548.0,,15243.0,46997.78,24208.792208,16061,14.0,0.1111,0.8889
Mr Leon's School of Hair Design-Moscow,6556.0,,12401.0,45891.82,26246.676056,5031,20.0,0.0909,0.9091
North Idaho College,8640.0,,40174.0,50107.84,36993.498395,27566,14.0,0.3757,0.6243
Northwest Nazarene University,5741.0,0.88146324305311,47007.0,59470.41,62125.035439,51227,14.0,0.4224,0.5776
Nathan Layne Institute of Cosmetology,1809.0,,25310.0,49791.77,20193.5,11456.5,9.0,0.0,1.0
Brigham Young University-Idaho,4517.0,0.96567299006323,46745.0,58959.59,52778.436134,42100,20.0,0.4383,0.5617
College of Southern Idaho,6065.0,,35632.0,48219.28,35992.468944,30300,22.0,0.3383,0.6617
Adler University,11296.0,,,,,,,0.0,0.0
American Academy of Art College,7141.0,,32311.0,70029.31,54148.781457,41179,6.0,0.3172,0.6828
American Islamic College,60778.0,1.0,,,,,2.0,0.8,0.2
School of the Art Institute of Chicago,18625.0,0.80976863753213,32679.0,72806.39,81855.588978,50784,10.0,0.2479,0.7521
Augustana College,10473.0,0.69126506024096,51270.0,77348.81,101517.56354,90216,11.0,0.4579,0.5421
Aurora University,5061.0,0.86423734279264,55567.0,77796.79,60291.360663,45293,20.0,0.3366,0.6634
Southwestern Illinois College,9199.0,,38494.0,53892.17,31271.154229,21868,17.0,0.4331,0.5669
Bethany Theological Seminary,32876.0,,,,,,,,
Black Hawk College,7812.0,,36810.0,53606.64,35157.18534,25847.5,17.0,0.3436,0.6564
Blackburn College,10096.0,0.66225165562913,41942.0,56165.33,41564.886473,29508.5,9.0,0.4557,0.5443
Blessing Rieman College of Nursing and Health Sciences,25761.0,,62357.0,51344.48,55160.453901,39159,10.0,0.0567,0.9433
Bradley University,13730.0,0.75863092293995,58801.0,74072.54,92115.841379,79479,12.0,0.4953,0.5047
Paul Mitchell The School Tinley Park,5155.0,,20717.0,72472.9,34935.136872,21662.5,14.0,0.0625,0.9375
Cameo Beauty Academy,1921.0,,23787.0,65880.89,24815.690265,10615,13.0,0.0259,0.9741
Cannella School of Hair Design-Villa Park,11284.0,,22108.0,79604.96,20532.791667,19546.5,12.0,0.025,0.975
Cannella School of Hair Design-Chicago,5018.0,,15989.0,47912.89,11752.826087,10144,15.0,0.0,1.0
Cannella School of Hair Design-Chicago,4646.0,,19055.0,53301.22,20953.948718,17675.5,15.0,0.0513,0.9487
Capri Beauty College,11981.0,,19400.0,76962.62,59840.355263,35881,8.0,0.0213,0.9787
Carl Sandburg College,8581.0,,39501.0,49336.11,27726.343284,21982,15.0,0.3538,0.6462
Catholic Theological Union at Chicago,29916.0,,,,,,,,
Midwestern University-Downers Grove,21402.0,,101637.0,74224.67,,,,,
The Chicago School of Professional Psychology at Chicago,7964.0,0.19747899159663,59244.0,,31396.256158,18495,8.0,0.1667,0.8333
Chicago State University,29476.0,0.47471383975026,43410.0,51518.57,21800.619641,15134,10.0,0.3055,0.6945
Chicago Theological Seminary,24213.0,,,,,,,,
University of Chicago,78564.0,0.06478116606098,90882.0,74573.19,100617.13196,47139.5,5.0,0.5233,0.4767
City Colleges of Chicago-Kennedy-King College,13738.0,,28580.0,43966.34,16136.605712,11938,13.0,0.4172,0.5828
City Colleges of Chicago-Malcolm X College,6634.0,,39063.0,43218.08,19490.603719,16011,22.0,0.215,0.785
City Colleges of Chicago-Olive-Harvey College,12345.0,,29775.0,49031.24,17479.72956,13886,15.0,0.3699,0.6301
City Colleges of Chicago-Harry S Truman College,6909.0,,37475.0,51913.85,19163.622179,15204,20.0,0.3856,0.6144
City Colleges of Chicago-Richard J Daley College,5009.0,,41839.0,51072.84,23583.256993,20263.5,23.0,0.5343,0.4657
City Colleges of Chicago-Harold Washington College,7694.0,,36580.0,46324.9,21889.802937,18168,19.0,0.4113,0.5887
City Colleges of Chicago-Wilbur Wright College,4837.0,,42002.0,55296.81,25237.791326,21884.5,27.0,0.4732,0.5268
Columbia College Chicago,10198.0,0.95635910224438,37124.0,72555.55,72793.009147,49117,14.0,0.399,0.601
Concordia University-Chicago,6374.0,0.87811387900355,54108.0,68556.46,61554.384961,46286,13.0,0.4358,0.5642
Danville Area Community College,8054.0,,43019.0,48668.03,30167.052687,22360,15.0,0.4051,0.5949
Tricoci University of Beauty Culture,3891.0,,19348.0,50954.39,25612.690722,15211.5,21.0,0.0149,0.9851
DePaul University,12358.0,0.69443491816056,60694.0,76598.6,74921.306181,48556,17.0,0.4607,0.5393
Cosmetology & Spa Academy,1573.0,,22243.0,85926.47,36872.893939,23464.5,20.0,0.2523,0.7477
College of DuPage,10528.0,,47255.0,87885.4,39037.433758,28617.5,19.0,0.4556,0.5444
East-West University,8805.0,,35276.0,47283.1,21083.018349,14812,20.0,0.4456,0.5544
Eastern Illinois University,8881.0,0.71742477256822,45927.0,66452.23,55212.99919,39153,14.0,0.3869,0.6131
Elgin Community College,10258.0,,44920.0,84188.87,36903.13539,28006,17.0,0.4575,0.5425
Elmhurst University,7817.0,0.71291866028708,56324.0,80672.5,68003.76402,49618,13.0,0.3812,0.6188
Eureka College,6844.0,0.86659064994298,40965.0,63161.33,71418.571788,59797,12.0,0.5577,0.4423
First Institute of Travel Inc.,1404.0,,31936.0,84847.87,31549.760736,20383.5,15.0,0.0742,0.9258
Fox College,9342.0,0.60975609756097,37947.0,59508.42,49339.666102,27396.5,10.0,0.1558,0.8442
Garrett-Evangelical Theological Seminary,37799.0,,,58245,,,,,
Gem City College,5413.0,,22947.0,50911.95,27522.97561,21620,12.0,0.3125,0.6875
Governors State University,19040.0,0.52054794520547,49565.0,67479.79,31855.490267,20792,10.0,0.3647,0.6353
Graham Hospital School of Nursing,35787.0,1.0,56754.0,50111.47,47840.058824,41876,3.0,0.0385,0.9615
Greenville University,7442.0,0.79543197616683,40335.0,58941.13,62611.993174,53084,11.0,0.5471,0.4529
G Skin & Beauty Institute,3695.0,,25292.0,88152.68,39089.747475,26073,17.0,0.014,0.986
Hair Professionals Career College,985.0,,21761.0,68823.72,35206.025641,20771,20.0,0.0267,0.9733
Hair Professionals School of Cosmetology,1069.0,,19533.0,82546.82,34266.9,24346,23.0,0.0088,0.9912
Hebrew Theological College,12204.0,0.8,42107.0,62643.23,50317.151515,39414,5.0,0.1605,0.8395
Highland Community College,13703.0,,38238.0,54783.34,32027.755344,24244.5,10.0,0.3585,0.6415
Rosalind Franklin University of Medicine and Science,14358.0,,100379.0,75021.24,17419.757576,10865.5,,,
University of Illinois Chicago,30679.0,0.78803036286253,60411.0,71955.13,47402.620789,33725.5,19.0,0.4682,0.5318
Benedictine University,7342.0,0.80020632737276,58720.0,80587.19,64085.528805,47021,13.0,0.5014,0.4986
Illinois College of Optometry,20227.0,,,72760.13,,,,,
University of Illinois Urbana-Champaign,17161.0,0.59662135187947,68323.0,77278.04,86138.030069,62485,21.0,0.5385,0.4615
Illinois Wesleyan University,17954.0,0.45234426590358,58031.0,81071.43,111976.91558,98014,12.0,0.4921,0.5079
Illinois Central College,7339.0,,39506.0,56802.24,36851.991484,25917,16.0,0.3958,0.6042
Illinois College,7994.0,0.74758659852356,45451.0,59338.79,67598.44592,59194,13.0,0.477,0.523
Olney Central College,3714.0,,33548.0,44268.06,34202.099237,27680,11.0,0.4137,0.5863
Illinois Institute of Technology,12813.0,0.66109492409139,75646.0,74075.49,60579.291053,39719,12.0,0.6781,0.3219
Illinois State University,8273.0,0.91538655250566,53765.0,74746.5,80963.026275,67099.5,19.0,0.4297,0.5703
Illinois Valley Community College,6786.0,,42797.0,54721.01,32248.392825,23884,14.0,0.4452,0.5548
Institute for Clinical Social Work,6773.0,,,,,,,,
John A Logan College,5732.0,,32680.0,42918.13,20380.570159,16215,18.0,0.3922,0.6078
John Wood Community College,9285.0,,36554.0,46584.24,37691.910917,28951,13.0,0.3766,0.6234
Joliet Junior College,11563.0,,44174.0,76243.04,37693.06075,28008,16.0,0.4322,0.5678
Judson University,7569.0,0.62398373983739,50757.0,75944.27,60705.377897,45084,11.0,0.4626,0.5374
Kankakee Community College,12275.0,,43607.0,56125.22,29424.317771,20503,13.0,0.3789,0.6211
Kaskaskia College,9614.0,,39329.0,50231.54,24190.53486,20736,16.0,0.3431,0.6569
